epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9471,1.64173,5.1676,1.3686,1,0.26587,0.63292,0.58739,1.34483,5.73532,1.22652,0.00025722,0.00025722,0.00025722
2,42.3032,1.38807,3.40575,1.18726,0.66677,0.47619,0.53109,0.4615,1.20931,5.37082,1.13944,0.000518261,0.000518261,0.000518261
3,64.1127,1.36162,3.37691,1.21603,0.66701,0.30357,0.46449,0.41196,1.1715,5.15293,1.11384,0.00076855,0.00076855,0.00076855
4,87.6751,1.19175,3.05712,1.16045,1,0.61508,0.80751,0.72746,1.23155,5.56571,1.22831,0.00100809,0.00100809,0.00100809
5,110.941,1.36341,3.55708,1.26581,1,0.76786,0.88223,0.77202,1.24746,4.73437,1.24747,0.00123687,0.00123687,0.00123687
6,133.872,1.32236,2.79668,1.23991,1,0.76786,0.88223,0.75727,1.23372,4.41206,1.25438,0.00128753,0.00128753,0.00128753
7,161.883,1.30652,3.15165,1.19581,0.58725,0.44078,0.59295,0.46844,1.26856,7.6276,1.36289,0.00125923,0.00125923,0.00125923
8,189.068,1.19188,2.87559,1.16717,0.66804,0.75397,0.71752,0.62234,1.25314,3.77961,1.27429,0.00123094,0.00123094,0.00123094
9,218.307,1.21665,2.7638,1.1486,1,0.75397,0.87695,0.78896,1.23797,4.04284,1.23781,0.00120265,0.00120265,0.00120265
10,244.246,1.23954,3.01347,1.19223,1,0.80952,0.90307,0.80307,1.22629,4.10358,1.1816,0.00117435,0.00117435,0.00117435
11,271.267,1.39231,2.72254,1.32247,0.668,0.7996,0.71613,0.59286,1.17102,4.16014,1.17815,0.00114606,0.00114606,0.00114606
12,297.673,1.20712,2.61054,1.15275,0.3061,0.37103,0.20435,0.17859,1.20176,3.68998,1.21449,0.00111776,0.00111776,0.00111776
13,326.675,1.17013,2.42788,1.0868,0.52839,0.4504,0.42714,0.38646,1.09928,3.85244,1.13921,0.00108947,0.00108947,0.00108947
14,362.177,1.25719,2.28541,1.14322,0.79657,0.51587,0.66455,0.58813,1.20995,3.99068,1.21602,0.00106118,0.00106118,0.00106118
15,392.929,1.12376,2.48998,1.12932,0.76048,0.60317,0.65981,0.59594,1.16846,3.522,1.18282,0.00103288,0.00103288,0.00103288
16,421.465,1.35018,2.25804,1.22865,0.7885,0.6369,0.68126,0.61211,1.04284,3.43338,1.11252,0.00100459,0.00100459,0.00100459
17,450.466,1.15212,2.03831,1.1226,0.51612,0.55754,0.46191,0.38935,1.06398,3.23145,1.15002,0.000976293,0.000976293,0.000976293
18,480.688,1.03036,1.88426,1.10013,0.51622,0.50794,0.43123,0.38318,0.97752,3.23151,1.09935,0.000947999,0.000947999,0.000947999
19,509.554,1.12306,2.17581,1.13903,0.5631,0.46032,0.38612,0.34973,1.12008,3.00331,1.11688,0.000919704,0.000919704,0.000919704
20,539.35,1.09899,2.07637,1.09053,0.53401,0.48413,0.3897,0.35707,1.14139,3.06285,1.15525,0.00089141,0.00089141,0.00089141
